Species	Assessment	Tanglees	IDs	Metadata
Adaina microdactyla	monophyletic		RMNH.INS.541056,TLMF_Lep_08451,GU707337,GU706975,HQ955203,UKLB27D11	
Agdistis adactyla	monophyletic		HM902061	
Agdistis bennetii	monophyletic		JN261744	
Agdistis meridionalis	monophyletic		UKLB41C04,JN261749	
Agdistis neglecta	monophyletic		JN261747	
Agdistis satanas	monophyletic		JN261745,JN261746	
Alucita hexadactyla	monophyletic		UKLB34A09	
Amblyptilia acanthadactyla	monophyletic		HM874352,UKLB23D05,HM874354,HQ941466,UKLB32G01,HQ968802,HM874353,HQ955177,HM901994,HM872815	
Amblyptilia punctidactyla	monophyletic		HM875884,UKLB34D11,HQ968803,BC_ZSM_Lep_51028,HM387025,NHMO-06015,HM871031,HM871457	
Buckleria paludum	monophyletic		MM17614,GU706890,MM17615,MM21110	
Buszkoiana capnodactylus	monophyletic		JN277216,HM376265	
Calyciphora albodactylus	monophyletic		TLMF_Lep_04005,HM872955	
Calyciphora nephelodactyla	monophyletic		HQ968778,TLMF_Lep_05318	
Capperia britanniodactylus	monophyletic		UKLB13D01	
Capperia celeusi	monophyletic		GU707075,GU706888,HQ968539	
Capperia trichodactyla	monophyletic		JF854535	
Cnaemidophorus rhododactyla	monophyletic		BC_ZSM_Lep_64367,GU707299,GU706872,HM901995	
Crombrugghia buvati	monophyletic		HQ968536	
Crombrugghia distans	polyphyletic	Crombrugghia jaeckhi,Crombrugghia tristis,Crombrugghia propedistans	HQ968542,MM14803,MM10605,MM10601	
Crombrugghia jaeckhi	monophyletic		HQ968540	
Crombrugghia kollari	monophyletic		HQ968547,HQ968546	
Crombrugghia laetus	monophyletic		HQ968545,JN307279,HQ968541	
Crombrugghia propedistans	monophyletic		HQ968537	
Crombrugghia tristis	polyphyletic	Crombrugghia distans,Crombrugghia kollari	HM381512,MM10635,MM03546	
Emmelina monodactyla	monophyletic		TLMF_Lep_08009,UKLB25D04,UKLB28F07,GU706791	
Geina didactyla	monophyletic		HM871826,MM06822,HM432301	
Gillmeria miantodactylus	monophyletic		TLMF_Lep_05310	
Gillmeria ochrodactyla	monophyletic		BC_ZSM_Lep_64381,HM873596,TLMF_Lep_05313	
Gillmeria pallidactyla	paraphyletic	Gillmeria miantodactylus,Gillmeria ochrodactyla	HM872706,JF859669,HM871459,NHMO-08160,GU707018	
Gypsochares bigoti	monophyletic		JN307778,JN307777	
Hellinsia alpinus	monophyletic		TLMF_Lep_03169	
Hellinsia carphodactyla	monophyletic		RMNH.INS.540932,GU706762	
Hellinsia chrysocomae	monophyletic		TLMF_Lep_03166	
Hellinsia cinerariae	monophyletic		TLMF_Lep_03164	
Hellinsia didactylites	monophyletic		HM871456	
Hellinsia distinctus	monophyletic		JF853919	
Hellinsia lienigianus	monophyletic		HM876267,TLMF_Lep_06535,HM871455,UKLB32G04,HQ968261	
Hellinsia osteodactylus	monophyletic		JF859654,HQ955176,HQ968225,HM871825,HQ570323,HQ570360	
Hellinsia pectodactylus	monophyletic		JN277263	
Hellinsia tephradactyla	monophyletic		HM871824,HM871823,TLMF_Lep_08396,BC_ZSM_Lep_51015,UKLB32C07,JF859894	
Marasmarcha lunaedactyla	monophyletic		HM874962,UKLB41C05,HQ955296	
Merrifieldia baliodactylus	monophyletic		NHMO-07023,GU706726,BC_ZSM_Lep_51009,GU707294	
Merrifieldia bystropogonis	monophyletic		TLMF_Lep_04787	
Merrifieldia leucodactyla	monophyletic		TLMF_Lep_05319,HM873150,HQ968776,HM381482,GU706727	
Merrifieldia malacodactyla	monophyletic		JN277265	
Merrifieldia tridactyla	monophyletic		UKLB41C10,GU706725,GU707014,HM871949,HM871951	
Oidaematophorus giganteus	monophyletic		TLMF_Lep_03155	
Oidaematophorus lithodactyla	paraphyletic	Oidaematophorus vafradactylus,Oidaematophorus giganteus	UKLB13B02,NHMO-06072,HM874362,HM874688,TLMF_Lep_07513	
Oidaematophorus rogenhoferi	monophyletic		HM381420,JF860265,HM873225,HQ968919,HM873344	
Oidaematophorus vafradactylus	monophyletic		MM19229	
Oxyptilus chrysodactyla	monophyletic		HM875272,MM21124,MM03469	
Oxyptilus ericetorum	monophyletic		MM06943,HM873585,KBE-07014	
Oxyptilus parvidactyla	monophyletic		MM03775,HQ563790,HM874514,HQ955612,HM901992	
Oxyptilus pilosellae	monophyletic		HM874342,BC_ZSM_Lep_61538,GU707017,GU706701,TLMF_Lep_05316,KBE-07010,JN277228,HM875267,HQ955561,JF853420	
Platyptilia calodactyla	polyphyletic	Platyptilia tesseradactyla,Platyptilia gonodactyla	HM871821,HQ570336,TLMF_Lep_08411,MM03100,MM18373	
Platyptilia gonodactyla	monophyletic		TLMF_Lep_05315,HM396483,JF859893,HQ570376,NHMO-07075,GU706668	
Platyptilia nemoralis	monophyletic		HQ955175,TLMF_Lep_04508,HM873031	
Platyptilia tesseradactyla	paraphyletic	Platyptilia calodactyla,Platyptilia nemoralis,Platyptilia gonodactyla	JN277220,HM874566,HM872200,JN277245,TLMF_Lep_05317	
Porrittia galactodactyla	monophyletic		HM876547	
Pselnophorus heterodactyla	monophyletic		HM872837	
Pterophorus pentadactyla	monophyletic		RMNH.INS.540811,HQ955577,GU707011,UKLB25F04,GU707012,HM386987,HQ955174	
Puerphorus olbiadactylus	monophyletic		JN307779,JN307780	
Stangeia siceliota	monophyletic		JN277259	
Stenoptilia alpinalis	monophyletic		HQ968552	
Stenoptilia annadactyla	monophyletic		HM391808,GU706533,TLMF_Lep_07503,GU706794	
Stenoptilia bigoti	monophyletic		HQ968800	
Stenoptilia bipunctidactyla	monophyletic		UKLB41C08,MM19955,HM871659,TLMF_Lep_07320,HM873282,HM874528,BC_ZSM_Lep_61138	
Stenoptilia brigantiensis	polyphyletic	Stenoptilia islandicus,Stenoptilia mercantourica	HQ968555,HQ968553	
Stenoptilia buvati	monophyletic		HQ968544	
Stenoptilia coprodactylus	monophyletic		HM381507,HM381430,HQ968722,TLMF_Lep_05322,GU706636,HM381384,HQ968945,HM381527,GU706637	
Stenoptilia graphodactyla	monophyletic		HM422136,TLMF_Lep_08403,JN277232	
Stenoptilia islandicus	monophyletic		HM396375	
Stenoptilia lutescens	monophyletic		JN277234,HQ968774	
Stenoptilia mercantourica	monophyletic		HQ968968	
Stenoptilia mimula	monophyletic		JN277260,JN277261	
Stenoptilia nolckeni	monophyletic		MM05626	
Stenoptilia pelidnodactyla	monophyletic		HM876544,HM876027	
Stenoptilia pneumonanthes	monophyletic		HQ968543,HQ968550,JN277213,BC_ZSM_Lep_50715	
Stenoptilia pterodactyla	monophyletic		GU706532,TLMF_Lep_08404,HM901993	
Stenoptilia stigmatodactyla	monophyletic		TLMF_Lep_05325	
Stenoptilia stigmatodactylus	monophyletic		HM422207	
Stenoptilia veronicae	monophyletic		MM03096,HM875143	
Stenoptilia zophodactylus	monophyletic		UKLB41C07,GU706793,BC_ZSM_Lep_61171,JN277262,JF853950,JN277214,TLMF_Lep_07356	
Stenoptilodes taprobanes	monophyletic		JN277219	
Wheeleria spilodactylus	monophyletic		JN307782,JN307783	
