Species	Assessment	Tanglees	IDs	Metadata
Acleris abietana	paraphyletic	Acleris nigrilineana	BC ZSM Lep 23065,TLMF Lep 07398,TLMF Lep 02382,MM19614,BC ZSM Lep 37987	
Acleris aspersana	monophyletic		MM13312,UKLB15H12,MM04833,MM14665,MM02024,BC ZSM Lep 28733,BC ZSM Lep 23074,MM06981,BC ZSM Lep 23075	
Acleris bergmanniana	monophyletic		BC ZSM Lep 23062,MM02997,MM08940,TLMF Lep 08398,MM02005,BC ZSM Lep 64300,BC ZSM Lep 23347	
Acleris caledoniana	monophyletic		UKLB40D05	
Acleris comariana	paraphyletic	Acleris caledoniana	KB08049,MM14718,UKLB18H09,UKLB27A11,MM04646,MM06666,UKLB32G03,MM02026,MM09779	
Acleris cristana	monophyletic		TLMF Lep 01615,BC ZSM Lep 64301,BC ZSM Lep 23072,RMNH.INS.538526,BC ZSM Lep 23354,MM04214	
Acleris effractana	paraphyletic	Acleris emargana	MM08189,KB09022,MM08190,KB08068	
Acleris emargana	paraphyletic	Acleris effractana	MM12265,MM00743,BC ZSM Lep 23070,MM12259,MM12263,MM12257,MM00744,MM08191,MM05505,MM12260,MM00745,MM01932,MM00747,MM00746,KB08059,MM12256,MM11761,MM12262,MM08925,MM12264,BC ZSM Lep 23069,MM12258,BC ZSM Lep 25132,TLMF Lep 07665,MM03563,MM12261,MM08926,MM01929,BC ZSM Lep 23068,MM01930,BC ZSM Lep 23350,TLMF Lep 04502,MM01928,MM03564,MM01931	
Acleris ferrugana	monophyletic		BC ZSM Lep 23079,MM05305,BC ZSM Lep 23365,UKLB41E12,BC ZSM Lep 23078,UKLB40D06,TLMF Lep 07932,RMNH.INS.538656,BC ZSM Lep 37972,BC ZSM Lep 23080,MM04204,UKLB31B01,MM05306	
Acleris fimbriana	monophyletic		MM18267,MM15667,MM17587	
Acleris forsskaleana	monophyletic		BC ZSM Lep 23061,TLMF Lep 08232,UKLB26A09,TLMF Lep 04351,RMNH.INS.540921,BC ZSM Lep 25134,BC ZSM Lep 23346,MM02021,MM13267,TLMF Lep 06434,MM05001,UKLB15H04,UKLB31B10	
Acleris hastiana	monophyletic		BC ZSM Lep 23077,MM19856,BC ZSM Lep 37511,UKLB28E12,UKLB28F06,UKLB38B11,MM00428,TLMF Lep 07636,UKLB33D02,UKLB34F03,BC ZSM Lep 23353,MM07210,BC ZSM Lep 25131,MM10283,TLMF Lep 07405,TLMF Lep 07422,BC ZSM Lep 61217,TLMF Lep 07458,BC ZSM Lep 53169,BC ZSM Lep 23359,MM08234,TLMF Lep 07302,MM08206,MM00460,MM20722,MM00402,TLMF Lep 07637,UKLB40D10,MM11959	
Acleris hippophaeana	monophyletic		BC ZSM Lep 23351,TLMF Lep 07631,TLMF Lep 07635,TLMF Lep 07669,TLMF Lep 07668,TLMF Lep 07634,TLMF Lep 07632,TLMF Lep 07633,TLMF Lep 07630	
Acleris holmiana	monophyletic		BC ZSM Lep 25234,MM02003,MM03568,MM05006	
Acleris hyemana	monophyletic		MM15666,BC ZSM Lep 23361,MM17586,BC ZSM Lep 51052,NHMO-08005,BC ZSM Lep 23360,MM17930,UKLB41F03,MM15665,UKLB42D01	
Acleris implexana	monophyletic		MM08297,MM11010,MM18608,MM18266,MM21070,MM21069	
Acleris kochiella	monophyletic		UKLB40D08	
Acleris lacordairana	monophyletic		BC ZSM Lep 23348,TLMF Lep 07345	
Acleris laterana	monophyletic		MM00762,TLMF Lep 08454,UKLB43B10,MM13787,UKLB40D04,MM03483,UKLB21C11,KB08019,BC ZSM Lep 23063,MM02029,BC ZSM Lep 23349,KB08020,MM04832,TLMF Lep 04478,BC ZSM Lep 37509,UKLB16A05,BC ZSM Lep 23064	
Acleris lipsiana	monophyletic		BC ZSM Lep 23083,MM08929,TLMF Lep 07022,MM08436,MM00398,MM02036	
Acleris literana	monophyletic		BC ZSM Lep 28736,MM19617,TLMF Lep 01616,TLMF Lep 02372	
