Species	Assessment	Tanglees	IDs	Metadata
Acleris logiana	monophyletic		TLMF Lep 07024,MM08309,BC ZSM Lep 28739,MM00593,MM02023,MM05295,NHMO Lep2011.007	
Acleris lorquiniana	monophyletic		MM00735,MM06093,MM19947,MM17756	
Acleris maccana	monophyletic		MM08298,MM17981,MM13882,MM08762,TLMF Lep 02880,TLMF Lep 02971,TLMF Lep 02882,TLMF Lep 02841,TLMF Lep 02842,MM08197,TLMF Lep 02881	
Acleris nigrilineana	paraphyletic	Acleris abietana	MM08932,MM08763,MM05307	
Acleris notana	monophyletic		UKLB33G03,MM05424,BC ZSM Lep 23364,BC ZSM Lep 50873,MM08323,MM08233,MM00864,BC ZSM Lep 28527,MM08312,BC ZSM Lep 23363,MM21200,MM06413,MM00873,BC ZSM Lep 27251	
Acleris obtusana	monophyletic		MM04069,MM13821,MM02033,MM02034	
Acleris permutana	monophyletic		BC ZSM Lep 23355,TLMF Lep 07664	
Acleris quercinana	monophyletic		MM19616	
Acleris rhombana	monophyletic		TLMF Lep 04156,UKLB16A06,UKLB5B06,MM04203,MM04202,RMNH.INS.538537,RMNH.INS.539071,RMNH.INS.539100,RMNH.INS.538538,MM02022,RMNH.INS.544457	
Acleris roscidana	monophyletic		MM18917,MM12131,TLMF Lep 07406	
Acleris rufana	monophyletic		BC ZSM Lep 37993,BC ZSM Lep 23082,MM15668,MM05308,MM15669	
Acleris scabrana	monophyletic		MM20667	
Acleris schalleriana	monophyletic		BC ZSM Lep 23071,MM07000,MM06999,TLMF Lep 08092,UKLB38A02,TLMF Lep 07931,BC ZSM Lep 25787,UKLB42D03,MM06998	
Acleris shepherdana	monophyletic		MM08976,TLMF Lep 04501,BC ZSM Lep 25135,BC ZSM Lep 23076,TLMF Lep 08418,MM05363,BC ZSM Lep 28734	
Acleris sparsana	monophyletic		UKLB33G05,BC ZSM Lep 37510,BC ZSM Lep 23066,MM17345,MM04831,UKLB31C05,BC ZSM Lep 23067,BC ZSM Lep 23352,UKLB29C05,MM04201	
Acleris umbrana	monophyletic		MM02032,MM08930,MM00624,UKLB40D09,NHMO Lep2011.241	
Acleris variegana	monophyletic		MM13178,BC ZSM Lep 28731,UKLB33F07,TLMF Lep 03020,BC ZSM Lep 37482,UKLB40D07,RMNH.INS.540973,RMNH.INS.544408,BC ZSM Lep 23356,UKLB28H06,BC ZSM Lep 23357,UKLB38E11,MM13177,BC ZSM Lep 23073,UKLB27B09,UKLB30G09,UKLB23H09	
Adoxophyes orana	monophyletic		MM02007,NHMO-06132,MM02980,BC ZSM Lep 23426,TLMF Lep 08012,BC ZSM Lep 61530,MM14376,BC ZSM Lep 25305	
Aethes ardezana	monophyletic		BC ZSM Lep 64299,TLMF Lep 01541,TLMF Lep 01542	
Aethes aurofasciana	monophyletic		TLMF Lep 00836,TLMF Lep 00835,BC ZSM Lep 23336	
Aethes beatricella	monophyletic		MM18277,UKLB34E08	
Aethes bilbaensis	monophyletic		TLMF Lep 03198	
Aethes cnicana	paraphyletic	Aethes rubigana	NHMO-08162,MM18274,MM02986,BC ZSM Lep 23340,MM14221,TLMF Lep 05268,MM01068,TLMF Lep 07720,MM06710,BC ZSM Lep 23117,BC ZSM Lep 23337,BC ZSM Lep 23118,BC ZSM Lep 23339,BC ZSM Lep 38035,UKLB40B08,MM05509,MM01069,TLMF Lep 07683,TLMF Lep 07684,MM18273,UKLB32G09,BC ZSM Lep 28591,TLMF Lep 02055,TLMF Lep 02348,BC ZSM Lep 27389,MM21121,MM01070,MM02987,MM02988,MM01072	
Aethes decimana	monophyletic		TLMF Lep 00862,TLMF Lep 00870,BC ZSM Lep 23335,BC ZSM Lep 27390	
Aethes deutschiana	monophyletic		TLMF Lep 02701,TLMF Lep 02859,NHMO-06128,TLMF Lep 02858,TLMF Lep 02860,MM04121,MM06320,MM00084	
Aethes dilucidana	monophyletic		BC ZSM Lep 38039,BC ZSM Lep 25411,BC ZSM Lep 25408	
Aethes fennicana	monophyletic		MM11200,MM17592,MM11164	
Aethes francillana	monophyletic		MM17258,RMNH.INS.538492,MM17591,MM17259,MM17590	
Aethes hartmanniana	monophyletic		MM14121,BC ZSM Lep 23338,TLMF Lep 07688,TLMF Lep 08081,TLMF Lep 00843,BC ZSM Lep 23114,BC ZSM Lep 37525,BC ZSM Lep 23115,BC ZSM Lep 37557,MM05974,TLMF Lep 00888,MM17278,MM06142,BC ZSM Lep 37529,BC ZSM Lep 50998,BC ZSM Lep 50993,BC ZSM Lep 23333,BC ZSM Lep 23332,BC ZSM Lep 50724,BC ZSM Lep 50710,BC ZSM Lep 37527,BC ZSM Lep 37531	
Aethes kindermanniana	monophyletic		MM13281,MM03668,MM04010	
Aethes kyrkii	monophyletic		MM10685,MM10684,MM15675,MM15674	
Aethes languidana	monophyletic		TLMF Lep 03199	
Aethes margaritana	monophyletic		MM02066,BC ZSM Lep 28585,MM14117,MM05210,BC ZSM Lep 27399	
Aethes margarotana	monophyletic		BC ZSM Lep 38033	
Aethes moribundana	monophyletic		TLMF Lep 01548	
Aethes rubigana	paraphyletic	Aethes cnicana	MM06813,MM12324,MM08971,TLMF Lep 07682,MM08970,MM18271,MM05199,BC ZSM Lep 23341,MM05200,MM18272,MM18270,MM08969	
Aethes rutilana	monophyletic		TLMF Lep 00788,BC ZSM Lep 38034,UKLB40B06,MM18276,MM08053,TLMF Lep 07290,TLMF Lep 01547,MM00075,MM11838,MM11837,MM03430,MM14379,TLMF Lep 04275,MM09745,MM18275,TLMF Lep 01546,MM19609,TLMF Lep 01680,TLMF Lep 01681,MM14588	
Aethes smeathmanniana	monophyletic		MM06319,MM02094,NHMO-08040,BC ZSM Lep 37505,BC ZSM Lep 28587,MM13141,BC ZSM Lep 23116,UKLB32B05,MM13297,UKLB32B03,BC ZSM Lep 28589,UKLB20D03	
Aethes tesserana	monophyletic		MM17761,TLMF Lep 05219,TLMF Lep 08033,BC ZSM Lep 23334,MM19220,BC ZSM Lep 28590,MM05753,MM19219,TLMF Lep 03699	
Aethes triangulana	monophyletic		MM11863,MM03939,MM15676	
Aethes williana	monophyletic		UKLB34E05,UKLB20E02,UKLB40B07	
Agapeta hamana	monophyletic		RMNH.INS.544361,NHMO-06141,UKLB25F03,UKLB43C04,UKLB34D05,MM06820,BC ZSM Lep 64298,BC ZSM Lep 64388,UKLB28F01,UKLB32D01,BC ZSM Lep 38031,UKLB25C08,BC ZSM Lep 23327,UKLB1C07,TLMF Lep 03010,UKLB19H07,UKLB21G09,UKLB30D11,MM11780,TLMF Lep 03694	
Agapeta zoegana	monophyletic		TLMF Lep 08455,TLMF Lep 05267,BC ZSM Lep 23108,BC ZSM Lep 23328,BC ZSM Lep 25152,MM13171,UKLB15H09,UKLB43C02,UKLB34F04,UKLB40B05,MM18268,MM06900,MM12372,NHMO-06142,MM09584	
Aleimma loeflingiana	monophyletic		RMNH.INS.540812,TLMF Lep 02099,RMNH.INS.540883,UKLB28B09,BC ZSM Lep 23345,RMNH.INS.540863,RMNH.INS.540865,BC ZSM Lep 23060,RMNH.INS.540892,RMNH.INS.540896,RMNH.INS.540864,RMNH.INS.540873,MM05259,BC ZSM Lep 25133,RMNH.INS.540862,UKLB20D11,TLMF Lep 02136,TLMF Lep 08028,MM05204,MM13268	
Aphelia ferugana	monophyletic		TLMF Lep 01671	
Aphelia paleana	monophyletic		MM03601,MM00118,TLMF Lep 06685,BC ZSM Lep 25145,BC ZSM Lep 23195,MM13168,UKLB23G06,MM11776,MM18260,MM00345,MM13167,UKLB38E01,MM18262,TLMF Lep 08430,TLMF Lep 07524,UKLB27E05,MM08875,UKLB1F07,MM01902,MM01901,UKLB33A10,NHMO-06155,UKLB29G05,UKLB40C04,MM04997,MM18261,MM11775,MM03496	
Aphelia unitana	monophyletic		MM15655,MM15657,BC ZSM Lep 32269,MM06129,TLMF Lep 07685,TLMF Lep 00809,BC ZSM Lep 23196,MM18258,BC ZSM Lep 25147,TLMF Lep 00828,TLMF Lep 00574,MM19629,MM15656,BC ZSM Lep 32270,TLMF Lep 00915,MM00038,MM18259,BC ZSM Lep 25146,TLMF Lep 07661,BC ZSM Lep 23416,TLMF Lep 04681,BC ZSM Lep 32262	
Aphelia viburnana	monophyletic		UKLB33F03	
Aphelia viburniana	paraphyletic	Aphelia viburnana	TLMF Lep 05215,MM17348,TLMF Lep 01712,TLMF Lep 08023,MM15990,TLMF Lep 05214,BC ZSM Lep 23197,NHMO-06106,MM06779,MM14332,MM03785,MM06502	
Archips betulana	monophyletic		MM19242,MM17744,MM17743	
Archips crataegana	monophyletic		BC ZSM Lep 23400,MM19262,BC ZSM Lep 23124,NHMO-07031,MM19263,UKLB29F07,MM19904	
Archips oporana	monophyletic		BC ZSM Lep 23397,MM03449,TLMF Lep 02156,BC ZSM Lep 61214,BC ZSM Lep 37472,TLMF Lep 08015,MM08821,RMNH.INS.540925,MM02019,BC ZSM Lep 23122	
Archips podana	monophyletic		UKLB19H04,KB08024,UKLB12E09,UKLB28A09,MM05228,MM06722,MM15652,MM15190,UKLB34D02,NHMO-08179,BC ZSM Lep 23399,BC ZSM Lep 25563,MM15653,BC ZSM Lep 23398,TLMF Lep 02155,UKLB28E02,RMNH.INS.540974,RMNH.INS.540848,UKLB40C02,UKLB24H03,BC ZSM Lep 23123	
Archips rosana	monophyletic		BC ZSM Lep 64380,TLMF Lep 08029,BC ZSM Lep 23125,TLMF Lep 08262,BC ZSM Lep 23402,MM02016,BC ZSM Lep 64302,BC ZSM Lep 25709,MM18256,BC ZSM Lep add 0045,MM10167	
Archips xylosteana	monophyletic		TLMF Lep 02158,TLMF Lep 02154,BC ZSM Lep 64350,UKLB28C07,TLMF Lep 05362,RMNH.INS.540899,BC ZSM Lep 25566,RMNH.INS.540849,MM04987,MM09757,MM09490,RMNH.INS.540838,TLMF Lep 08013,RMNH.INS.540875,UKLB38B07,RMNH.INS.540876,RMNH.INS.540853,BC ZSM Lep 50720,RMNH.INS.540834,BC ZSM Lep 61218,UKLB28E04,UKLB30A04,BC ZSM Lep 25141	
Argyrotaenia ljungiana	monophyletic		UKLB40C01,BC ZSM Lep 23403,UKLB30G02,BC ZSM Lep 23387,BC ZSM Lep 23404,TLMF Lep 02375,MM06287,MM21227,BC ZSM Lep 23384,MM05462,MM21226,MM21229,TLMF Lep 04304,MM06423,MM21228,UKLB33D08,UKLB27F09,MM21107	
Cacoecimorpha pronubana	monophyletic		MM18943,NHMO Lep09005,BC ZSM Lep 51050,UKLB29B04,UKLB40C03	
Capua vulgana	monophyletic		BC ZSM Lep 25741,TLMF Lep 07390,BC ZSM Lep 23121,NHMO Lep2011.050,NHMO-08077,TLMF Lep 07933,MM03806,BC ZSM Lep 64294,UKLB31G11,MM14182,MM03925	
Choristoneura albaniana	monophyletic		MM06335,MM06336,MM00085	
Choristoneura diversana	monophyletic		BC ZSM Lep 23418,BC ZSM Lep 23401[05/*,MM15654,BC ZSM Lep 23425[05/*,BC ZSM Lep 23419,MM12172	
Choristoneura hebenstreitella	monophyletic		UKLB38B10,TLMF Lep 02151,NHMO-08057,BC ZSM Lep 50707,BC ZSM Lep 23126	
Choristoneura murinana	monophyletic		TLMF Lep 02157	
Clepsis balcanica	monophyletic		TLMF Lep 05202,TLMF Lep 05203	
Clepsis consimilana	monophyletic		TLMF Lep 03186,TLMF Lep 03187,TLMF Lep 02195,UKLB40C05,UKLB34D07,BC ZSM Lep 25760,UKLB30C02,BC ZSM Lep 27847,BC ZSM Lep 25551,BC ZSM Lep 23362,UKLB20D10,MM19630,UKLB28G12,UKLB22A10,UKLB31E05	
Clepsis dumicolana	monophyletic		BC ZSM Lep 25701	
Clepsis illustrana	monophyletic		MM15650,MM15651,MM06407	
Clepsis lindebergi	monophyletic		MM06037,MM06586,MM06609	
Clepsis neglectana	monophyletic		MM15659,MM18257	
Clepsis nybomi	monophyletic		MM15658	
Clepsis pallidana	monophyletic		BC ZSM Lep 25792,BC ZSM Lep 23202,MM17583,MM18637,MM21024,MM17584	
Clepsis rogana	monophyletic		MM17741,TLMF Lep 00523,MM17414,MM17742,TLMF Lep 02718,MM17736,MM22501,KLM Lep 00373,MM17738,TLMF Lep 01786,MM17413,TLMF Lep 00770,MM17737,MM17412,TLMF Lep 01785,TLMF Lep 00771	
Clepsis rurinana	monophyletic		MM13272,TLMF Lep 08086,BC ZSM Lep 61517,MM02009,TLMF Lep 06531,BC ZSM Lep 23424,MM06610	
Clepsis senecionana	monophyletic		UKLB42A04,BC ZSM Lep 23199,BC ZSM Lep 23200,MM08175,MM00533,MM05358	
Clepsis siciliana	monophyletic		TLMF Lep 03185,TLMF Lep 03184	
Clepsis spectrana	monophyletic		BC ZSM Lep 53252,MM10084,UKLB19E12,RMNH.INS.539076,BC ZSM Lep 23201,RMNH.INS.540958,RMNH.INS.539040,UKLB1G07,BC ZSM Lep 28523,RMNH.INS.540678,RMNH.INS.539054,RMNH.INS.540711,MM02126,MM11756	
Clepsis steineriana	monophyletic		TLMF Lep 06545,BC ZSM Lep 23422,TLMF Lep 08391,BC ZSM Lep 23423,BC ZSM Lep 23421	
Cnephasia 	monophyletic		UKLB27G03	
Cnephasia alticolana	paraphyletic	Cnephasia zangheriana	BC ZSM Lep 23381,MM18636,MM15663,BC ZSM Lep 23382,TLMF Lep 02064,MM08619,MM15662,TLMF Lep 08397,MM08618,TLMF Lep 07384	
Cnephasia asseclana	paraphyletic	Cnephasia stephensiana	MM06712,BC ZSM Lep 37538,NHMO-08186,BC ZSM Lep 37992,BC ZSM Lep 37572,MM06680,BC ZSM Lep 23090,MM05256,MM05257,MM21120,UKLB42G02,BC ZSM Lep 25144,UKLB32H02,MM14449,BC ZSM Lep 23377,BC ZSM Lep 23383,TLMF Lep 07985,MM06548,BC ZSM Lep 25720,MM12315,MM09743,MM06678,TLMF Lep 08252,BC ZSM Lep 25708,UKLB33A08,BC ZSM Lep 25143,BC ZSM Lep 50712,BC ZSM Lep 23396,MM13863,RMNH.INS.540747,MM11849,BC ZSM Lep 23388,MM02140,MM06679,MM03463,MM09559,TLMF Lep 05366,TLMF Lep 06527,MM06681,BC ZSM Lep 28507,MM03504,MM06677	
Cnephasia communana	monophyletic		MM17747,TLMF Lep 04253,BC ZSM Lep 37542	
Cnephasia conspersana	monophyletic		UKLB40C11	
Cnephasia cupressivorana	monophyletic		MM19272	
Cnephasia genitalana	polyphyletic	Cnephasia ,Cnephasia alticolana,Cnephasia asseclana,Cnephasia communana,Cnephasia conspersana,Cnephasia cupressivorana,Cnephasia graecana,Cnephasia incertana,Cnephasia longana,Cnephasia pasiuana,Cnephasia stephensiana,Cnephasia zangheriana	BC ZSM Lep 50730,MM19620,BC ZSM Lep 37974,BC ZSM Lep 38060,BC ZSM Lep 51005,BC ZSM Lep 38057,MM19619,MM19621,TLMF Lep 08038,BC ZSM Lep 51002,BC ZSM Lep 23092,BC ZSM Lep 64368,UKLB27C10	
Cnephasia graecana	monophyletic		MM20550	
Cnephasia heinemanni	monophyletic		TLMF Lep 01582,TLMF Lep 01581,TLMF Lep 01580	
Cnephasia incertana	polyphyletic	Cnephasia ,Cnephasia alticolana,Cnephasia asseclana,Cnephasia communana,Cnephasia conspersana,Cnephasia cupressivorana,Cnephasia genitalana,Cnephasia graecana,Cnephasia longana,Cnephasia pasiuana,Cnephasia stephensiana,Cnephasia zangheriana	UKLB32E04,UKLB27A09,RMNH.INS.540714,MM03769,RMNH.INS.540767,UKLB40C12,UKLB24C02,RMNH.INS.540757,MM17748,MM18635,BC ZSM Lep 23385,BC ZSM Lep 28504,MM14330,BC ZSM Lep 64291,MM14329,MM18634,MM03770	
Cnephasia longana	monophyletic		UKLB27E03,UKLB16B02,MM19623,UKLB24B04,UKLB40C10	
Cnephasia pasiuana	paraphyletic	Cnephasia conspersana,Cnephasia genitalana,Cnephasia incertana,Cnephasia longana	BC ZSM Lep 23091,RMNH.INS.540742,BC ZSM Lep 64393,MM19903,MM21118,BC ZSM Lep 25601,BC ZSM Lep 61140	
Cnephasia sedana	paraphyletic	Cnephasia heinemanni	TLMF Lep 07348,TLMF Lep 01724,TLMF Lep 01723,TLMF Lep 00640,TLMF Lep 00118,TLMF Lep 00117	
Cnephasia stephensiana	polyphyletic	Cnephasia ,Cnephasia alticolana,Cnephasia asseclana,Cnephasia communana,Cnephasia genitalana,Cnephasia graecana,Cnephasia zangheriana	TLMF Lep 05367,BC ZSM Lep 23378,TLMF Lep 00943,BC ZSM Lep 25513,TLMF Lep 06534,UKLB28F08,MM13182,BC ZSM Lep 50997,MM08981,BC ZSM Lep 27040,BC ZSM Lep 23376,MM21108,UKLB23E11,MM05203,MM02129,BC ZSM Lep 29027,MM17356,BC ZSM Lep 23379,MM03467,BC ZSM Lep 27042,MM11848,MM13183,BC ZSM Lep 37975,UKLB28E09,MM03468,BC ZSM Lep 64292,MM05680,UKLB33H10,BC ZSM Lep 25749,MM17357,BC ZSM Lep 23389,BC ZSM Lep 23380,BC ZSM Lep 64382,BC ZSM Lep 25595,TLMF Lep 08016,MM05255,BC ZSM Lep 64384,MM02128,MM04998,UKLB42H08	
Cnephasia zangheriana	paraphyletic	Cnephasia alticolana	TLMF Lep 01624,TLMF Lep 01668	
Cochylidia heydeniana	monophyletic		TLMF Lep 03213,MM18657,MM17350,MM15678,MM13298	
Cochylidia implicitana	monophyletic		BC ZSM Lep 64365,BC ZSM Lep 61450,BC ZSM Lep 37507,BC ZSM Lep 37506,BC ZSM Lep 61570,MM03569,BC ZSM Lep 38037,MM18279,BC ZSM Lep 28725,MM03650,MM03623,MM13299,MM11011,MM05017	
Cochylidia moguntiana	monophyletic		TLMF Lep 07428,MM18846,MM17263,MM17516,MM17515	
Cochylidia richteriana	monophyletic		NHMO-08030,MM11012,MM05688,MM15677	
Cochylidia rupicola	paraphyletic	Cochylis rupicola	BC ZSM Lep 23119,TLMF Lep 07276,TLMF Lep 05102,MM17762,TLMF Lep 05005,TLMF Lep 05006,MM18633	
Cochylidia subroseana	monophyletic		BC ZSM Lep 61500,MM02558,TLMF Lep 00869,MM02991,MM14118	
Cochylimorpha alternana	monophyletic		MM17866,NHMO-07014,MM22625,MM03735,MM17228,MM06914,MM03736	
Cochylimorpha cultana	monophyletic		TLMF Lep 03176,TLMF Lep 03177	
Cochylimorpha erlebachi	monophyletic		TLMF Lep 04349	
Cochylimorpha hilarana	monophyletic		BC ZSM Lep 28683,TLMF Lep 06549,BC ZSM Lep 25337,BC ZSM Lep 25338	
Cochylimorpha straminea	monophyletic		TLMF Lep 03197,TLMF Lep 03196,BC ZSM Lep 50992,UKLB30B09,TLMF Lep 08445,UKLB34A12,BC ZSM Lep 38028	
Cochylis atricapitana	monophyletic		MM19222,MM19221,UKLB31G01,NHMO-08206,MM19612,RMNH.INS.538541,UKLB27C07,UKLB34F01,UKLB40B10	
Cochylis dubitana	monophyletic		MM04171,MM10346,BC ZSM Lep 25316,MM04172,UKLB32G05,NHMO-08093,MM06126,TLMF Lep 02054,MM02551,BC ZSM Lep 25156,MM13286,BC ZSM Lep 28729,MM11845	
Cochylis epilinana	monophyletic		TLMF Lep 06466,TLMF Lep 03194,TLMF Lep 03195	
Cochylis flaviciliana	monophyletic		TLMF Lep 05250,TLMF Lep 07701,BC ZSM Lep 61566,MM06608,NHMO-08071,MM06891,MM06758	
Cochylis hybridella	monophyletic		MM17768,MM17767,MM13137,TLMF Lep 05364,BC ZSM Lep 28728,RMNH.INS.544362,UKLB23F07,TLMF Lep 01679,MM18829,MM21122,UKLB27B05,RMNH.INS.538503	
Cochylis molliculana	monophyletic		UKLB27C01,UKLB34E04,UKLB29A11,UKLB24F12	
Cochylis nana	monophyletic		TLMF Lep 04284,BC ZSM Lep 38038,BC ZSM Lep 28726,UKLB31H04,MM03201,BC ZSM Lep 28724,MM14110,MM05291,BC ZSM Lep 50804,UKLB42G06	
Cochylis pallidana	monophyletic		TLMF Lep 01543,MM06249,BC ZSM Lep 23329,MM06762,TLMF Lep 08428,MM02553,TLMF Lep 07482,MM17588,MM13289,MM06248	
Cochylis posterana	monophyletic		MM17764,TLMF Lep 01544,TLMF Lep 01678,MM21169	
Cochylis roseana	monophyletic		MM19611	
Cochylis rupicola	monophyletic		UKLB42H11	
Diceratura infantana	monophyletic		TLMF Lep 03208	
Dichelia histrionana	monophyletic		TLMF Lep 02041,BC ZSM Lep 25348,BC ZSM Lep 23420,BC ZSM Lep 23198,BC ZSM Lep 25148,MM10415,TLMF Lep 08083,MM06755,MM06817,NHMO-08169	
Ditula angustiorana	monophyletic		UKLB20D05,MM19624,UKLB33D09,BC ZSM Lep 64358,UKLB40C08,UKLB34A02,UKLB27G06,UKLB22B01	
Doloploca punctulana	monophyletic		MM19199,BC ZSM Lep 23084,BC ZSM Lep 23366,BC ZSM Lep 23085,MM17585,MM19945,MM19198,MM21246,TLMF Lep 07917	
Eana argentana	monophyletic		BC ZSM Lep 23370,TLMF Lep 05221,TLMF Lep 01504,MM05253,BC ZSM Lep 64392,BC ZSM Lep 23086,MM10012,BC ZSM Lep 64383,MM06246,BC ZSM Lep 23787,TLMF Lep 08431	
Eana canescana	monophyletic		TLMF Lep 02902,TLMF Lep 05265,TLMF Lep 05266,TLMF Lep 00942,TLMF Lep 08340,TLMF Lep 00674,TLMF Lep 03373,TLMF Lep 03372,TLMF Lep 07425,TLMF Lep 03513,TLMF Lep 00941,TLMF Lep 01301,TLMF Lep 01432,TLMF Lep 01431,TLMF Lep 01084,TLMF Lep 00950,BC ZSM Lep 28681,BC ZSM Lep 23088,BC ZSM Lep 25406	
Eana derivana	monophyletic		MM07208,TLMF Lep 01669,TLMF Lep 01064,BC ZSM Lep 23372	
Eana freii	monophyletic		TLMF Lep 08104	
Eana incanana	paraphyletic	Eana freii	BC ZSM Lep 23089,TLMF Lep 07441,BC ZSM Lep 23371,BC ZSM Lep 50758,BC ZSM Lep 61531,TLMF Lep 07534,UKLB33E10,MM05265,MM13331,MM03044	
Eana nervana	monophyletic		TLMF Lep 08308	
Eana osseana	monophyletic		MM04140,TLMF Lep 01714,MM02993,BC ZSM Lep 23368,NHMO-08163,MM10348,TLMF Lep 02321,BC ZSM Lep 23369,TLMF Lep 02322,UKLB40D02	
Eana penziana	polyphyletic	Eana freii,Eana incanana,Eana nervana,Sphaleroptera adamelloi,Sphaleroptera alpicolana,Sphaleroptera dentana,Sphaleroptera occidentana,Sphaleroptera orientana	TLMF Lep 06435,MM08293,BC ZSM Lep 23373,BC ZSM Lep 51405,MM08314,MM03455,BC ZSM Lep 23374,TLMF Lep 00992,TLMF Lep 01584,BC ZSM Lep 23375,TLMF Lep 00119,MM03500,TLMF Lep 00120,TLMF Lep 01710,TLMF Lep 03605,TLMF Lep 01709,TLMF Lep 00940,TLMF Lep 00924,TLMF Lep 01583,TLMF Lep 01708,TLMF Lep 00926,TLMF Lep 00759,TLMF Lep 01061,TLMF Lep 00925,TLMF Lep 00580,TLMF Lep 05264	
Epagoge grotiana	monophyletic		MM02982,MM13269,NHMO-07034,BC ZSM Lep 64293,BC ZSM Lep 28676,TLMF Lep 02150,UKLB42H03,TLMF Lep 04353	
Epiphyas postvittana	monophyletic		UKLB1D04,UKLB1D05,UKLB33H08,UKLB31D05,UKLB8E05,UKLB29E03,UKLB43C11,UKLB40C06,UKLB27F07,UKLB34A01	
Eulia ministrana	monophyletic		MM06310,MM03425,BC ZSM Lep 25490,MM00109,BC ZSM Lep 24931,MM00064,NHMO-08120,MM00078,MM01067,BC ZSM Lep 53227,BC ZSM Lep 23391,UKLB31G12,UKLB40C09,MM13206,MM01066	
Eupoecilia ambiguella	monophyletic		RMNH.INS.540646,MM15672,TLMF Lep 07989,BC ZSM Lep 23111,RMNH.INS.538811,BC ZSM Lep 23112,MM06468,MM15673,NHMO-08042	
