Species	Assessment	Tanglees	IDs	Metadata
Acrocercops brongniardella	monophyletic		CLV2514,JF848386,NHMO-08036,JF855557,JF848377,JF848356,HM873948,HQ957010,HM872746,HQ955686,BC_ZSM_Lep_46365,CLV2784,CLV2027,CLV2783,BC_ZSM_Lep_46366,HM392519	
Acrocercops cocciferellum	monophyletic		JN272045	
Acrocercops tacita	monophyletic		CLV2028	
Aristaea pavoniella	monophyletic		JF848503,HM392514	
Aspilapteryx inquinata	monophyletic		JF848230	
Aspilapteryx limosella	monophyletic		CLV2267,HQ957017,CLV1780,JF848423,JN271949,TLMF_Lep_07942,JN271919,JN272051,HM392518,JF848338	
Aspilapteryx multipunctella	monophyletic		TLMF_Lep_03530,JN272047	
Aspilapteryx spectabilis	monophyletic		HQ968697	
Aspilapteryx tringipennella	monophyletic		CLV2613,TLMF_Lep_07467,CLV2611,CLV1846,HM874178,CLV261011,JF848342,JF848232,CLV2612,GU706906,HQ955687,RMNH.INS.544460,JN271948,STG34	
Bucculatrix ulmella	monophyletic		JF859885	
Callisto coffeella	monophyletic		HM425988,JF855560,JF855561,HQ968344,HQ968444,CLV1739,BC_ZSM_Lep_61455,HQ570366,HQ570365,HM873980	
Callisto denticulella	monophyletic		CLV22008,JN271899	
Callisto insperatella	monophyletic		NHMO_Lep2011.013,MM18988,HM902895	
Caloptilia alchimiella	monophyletic		CLV2595,JF859708,JN820098,HQ563618,JF848166,HM392522,JN271932,JN271929	
Caloptilia aurantiaca	monophyletic		HQ957019,TLMF_Lep_04767,TLMF_Lep_05147	
Caloptilia azaleella	monophyletic		UKLB30H06,CLV1980,UKLB31E12,HQ957007,ALazale1	
Caloptilia betulicola	monophyletic		UKLB41F09,UKLB39B07,HM871550,GU707249,ALbetul2,ALbetul1,BC_ZSM_Lep_53163,JN271928	
Caloptilia coruscans	monophyletic		CLV5195,LA1corus,LA2corus,LA3corus	
Caloptilia cuculipennella	monophyletic		HQ570362,ALcucul1,CLV2923,JF848371,HM422214,CLV2922,CLV1784,JN271924,CLV2921	
Caloptilia elongella	monophyletic		JF848162,ALelong1,HM874144,HM873077,UKLB15G05,TLMF_Lep_07418,ALelong2,HQ563452,JF848361,TLMF_Lep_07958,RMNH.INS.538533,HM392536	
Caloptilia falconipennella	monophyletic		LA4falco,RMNH.INS.538529,MM17530,LA5falco,JF848167,JN271955,JN271954,RMNH.INS.544433,Alfalcon	
Caloptilia fidella	monophyletic		ALfidel2,JF848164,BC_ZSM_Lep_53164,JN271942,JN271941,JN271940,BC_ZSM_Lep_46346,JN271918,JF848366,ALfidel1	
Caloptilia fribergensis	monophyletic		ALfribe1,ALfribe2,ALfribe3	
