Species	Assessment	Tanglees	IDs	Metadata
Caloptilia hemidactylella	monophyletic		JF848391,LA8hemid,RMNH.INS.538527,BC_ZSM_Lep_46348,ALhemid4,TLMF_Lep_06547,JF848390,ALhemid2,ALhemid3,HM872771,ALhemid1,TLMF_Lep_06510,MM17342,JF853994	
Caloptilia honoratella	monophyletic		ALhonor4,JN271922,JF848363,JN271936,CLV2024,ALhonor1,BC_ZSM_Lep_46357,TLMF_Lep_06546,JN271923,TLMF_Lep_06571,ALhonor2	
Caloptilia jurateae	monophyletic		NHMO-08028,HM392579,JN271967,KBE-07029	
Caloptilia magnifica	monophyletic		CLV2664,TLMF_Lep_03577	
Caloptilia nobilella	monophyletic		HM392525	
Caloptilia populetorum	monophyletic		TLMF_Lep_06675,BC_ZSM_Lep_61334,HQ963159,G06popul,ALpopul1,HQ955688,BC_ZSM_Lep_38011	
Caloptilia robustella	monophyletic		JF848364,RMNH.INS.538802,HM873946,BC_ZSM_Lep_61438,JN271956,HM871971,JN271916,HM392523	
Caloptilia roscipennella	monophyletic		JN271909,KF808713,KF808540	
Caloptilia rufipennella	monophyletic		HQ955653,JF848360,ALrufip1,JN271920,ALrufip3,TLMF_Lep_06556,LA9rufip,UKLB39B08	
Caloptilia semifascia	monophyletic		CLV2928,ALsemif4,ALsemif2,CLV2925,ALsemif1	
Caloptilia stigmatella	monophyletic		HQ955546,HQ563619,LA7stigm,LA6stigm,JF848334,JF848169,BC_ZSM_Lep_46355,UKLB30H01,JF848387,JN271933,HM871094,UKLB18H06,MM05426,CLV22208,UKLB41E10	
Caloptilia suberinella	monophyletic		HM396389,HM871033,HM396392	
Calybites hauderi	monophyletic		ALhaude1	
Calybites phasianipennella	monophyletic		UKLB26B07,CLV5198,CLV1757,CLV180910,CLV1801,GU707079,BC_ZSM_Lep_46363,HM392516	
Calybites quadrisignella	monophyletic		DP09097,HM392515	
Cameraria ohridella	monophyletic		DLCO1O2,CLV290811,DLCO1O7,JN280160	
Cupedia cupediella	monophyletic		CLV5202,PHA2,JN299415	
Dialectica hedemanni	monophyletic		HM392540,TLMF_Lep_05149	
Dialectica imperialella	monophyletic		CLV2513,JF855558	
Dialectica scalariella	monophyletic		JN280420,JF848421,JF848383,JF855559,ALscala1,JF848410,CLV2517,ALscala2,CLV1765	
Euspilapteryx auroguttella	monophyletic		JN271961,JN271952,HQ955691,TLMF_Lep_06455,HQ955689,JF848394,HM871639	
Gracillaria loriolella	monophyletic		JF860291,JN271939,HM392520,G05lorio,ALlorio1	
Gracillaria syringella	monophyletic		CLV21708,HM875158,GU706354	
Leucospilapteryx omissella	monophyletic		JF848353	
Macrosaccus robiniella	monophyletic		HQ563788,B12robin,CLV2779	
Metriochroa latifoliella	monophyletic		CLV2273,HM392532	
Micrurapteryx gradatella	monophyletic		HM873950	
Micrurapteryx kollariella	monophyletic		CLV2045,JF848397,JF848362,BC_ZSM_Lep_46341,JF848227,HM422150,CLV5200	
Ornixola caudulatella	monophyletic		HM392527,JF848502,JF848170	
Parectopa ononidis	monophyletic		CLV2541,F11onon,F12onon,RMNH.INS.538485,JN271901,JN271915,JF848374,HM876110,HM871878,CLV2272,HM876039	
Parectopa robiniella	monophyletic		BC_ZSM_Lep_46386,JN271900,CLV2542,JF848420	
Parornix acuta	monophyletic		F02acut	
Parornix ampliatella	monophyletic		JF855555,JF848226,CLV1501	
Parornix anglicella	monophyletic		CLV1514,JF848339,HM873102,JF855562,HM871133,CLV2290	
Parornix anguliferella	monophyletic		JF848365	
Parornix atripalpella	monophyletic		CLV2288,STG65	
Parornix betulae	monophyletic		HQ963158,KF808896,JF855565,JF855563,HM873184,JF854031,BC_ZSM_Lep_46397	
Parornix carpinella	monophyletic		JF848510,STG66,CLV2004,CLV2544,JF855564,JN272058	
Parornix devoniella	monophyletic		HM874373,HM873631,HM391775,JF848424,JN271906	
Parornix fagivora	monophyletic		BC_ZSM_Lep_46395,JN271904,STG46,BC_ZSM_Lep_61348,HQ955657	
Parornix finitimella	monophyletic		GU706679,UKLB31D07	
Parornix loganella	monophyletic		HM873256,HQ570310,HM873919	
Parornix mixta	monophyletic		LB4mixta,LB3mixta,HM392533	
Parornix petiolella	monophyletic		BC_ZSM_Lep_61351,JF848349	
Parornix polygrammella	monophyletic		JF854115,HM873185,HM873205	
Parornix scoticella	monophyletic		F07alpic,HQ968831,CLV1512,JF855567,STG48,F03scot,HQ957011	
Parornix szocsi	monophyletic		TLMF_Lep_06597,HM392513,JN272054	
Parornix tenella	monophyletic		LA11tene,TLMF_Lep_06596,BC_ZSM_Lep_46324,TLMF_Lep_06622,LB1tenel,TLMF_Lep_06676	
Parornix torquillella	monophyletic		BC_ZSM_Lep_61456,JN299395,F04torq,BC_ZSM_Lep_46327,JF848160,JF848382	
Parornix traugotti	monophyletic		MM19367	
Phyllocnistis citrella	monophyletic		ALcitre2,ALcitre1	
Phyllocnistis extrematrix	monophyletic		CLV2476,TLMF_Lep_03555,LH4spAra	
Phyllocnistis labyrinthella	monophyletic		HM875805,MM00041,JN276187,MM19890,HM872831,HM872819,HM875804	
Phyllocnistis ramulicola	monophyletic		HM392572	
Phyllocnistis saligna	monophyletic		JF848482,CLV2495,STG9,LH2salig,MM22736,STG10,BC_ZSM_Lep_50928,STG14,BC_ZSM_Lep_61391,JN276182,LH3salig,JF848350,CLV2475,STG15,MM20616,STG1,STG3,STG2	
Phyllocnistis unipunctella	monophyletic		JF854122,STG11,JN276183,CLV2468,CLV2464,CLV22708,CLV2473	
Phyllocnistis valentinensis	monophyletic		CLV2766,CLV2765,CLV2499,CLV2493	
Phyllocnistis vitegenella	monophyletic		JQ412575,JN276186,JQ412576,JQ412573,STG13	
Phyllocnistis xenia	monophyletic		GU707101	
Phyllonorycter abrasella	monophyletic		CLV2933,JN280292,CLV2932,LB9abras,F01abras,LB10abra	
Phyllonorycter acerifoliella	polyphyletic	Phyllonorycter geniculella,Phyllonorycter joannisi,Phyllonorycter ochreojunctella,Phyllonorycter telinella	BC_ZSM_Lep_50790,LC2sp,CLV8208,JN280417,CLV2589,CLV1737,JF848218	
Phyllonorycter adenocarpi	monophyletic		D10adeno	
Phyllonorycter aemula	monophyletic		CLV2794,CLV1625,ALaemul2	
Phyllonorycter agilella	monophyletic		B02agil,MM20612	
Phyllonorycter alnivorella	monophyletic		CLV2792,CLV2793,Alalnivo	
Phyllonorycter alpina	monophyletic		A02alpin,CLV1930,JF848190	
Phyllonorycter anceps	monophyletic		LB12ance,Alb2F1,C12F1	
Phyllonorycter andalusicus	monophyletic		KC567625	
Phyllonorycter anderidae	monophyletic		UKLB16B01,HM875866,JF854118,JN280378,BC_ZSM_Lep_35029,HM876335,BC_ZSM_Lep_35031	
Phyllonorycter apparella	monophyletic		MM06989	
Phyllonorycter argyrolobiella	monophyletic		TLMF_Lep_06732	
Phyllonorycter baetica	monophyletic		KC567638,KC567654,KC567649,KC567636,KC567639,HM392510,KC567657,KC567633	
Phyllonorycter baldensis	monophyletic		C09balde,C10balde	
Phyllonorycter barbarella	monophyletic		G11barba,G10barba	
Phyllonorycter belotella	monophyletic		CLV8708,CLV2852,G12belot,CLV2847,CLV2846,JN280246,CLV2851	
Phyllonorycter blancardella	paraphyletic	Phyllonorycter cydoniella,Phyllonorycter gerasimowi,Phyllonorycter hostis,Phyllonorycter oxyacanthae	RMNH.INS.538511,CLV2532,A34M1,C27_F1,A05blanc,B12M1,A10F1,A06blanc,A27M1,JF848195,JF848472,CLV2568,HM875017,B14F1,A1M1,B17M1,C20F1,A25F1,A31M1,Alb11M1,A10F2	
Phyllonorycter brevilineatella	monophyletic		HM902850	
Phyllonorycter cavella	monophyletic		JF848430	
Phyllonorycter cephalariae	monophyletic		A09cephal,A07cephal,HM392486,STG61	
Phyllonorycter cerasicolella	monophyletic		JN280199,JN280197,JN280427,JN280414,A01ceras,BC_ZSM_Lep_50880	
Phyllonorycter cerasinella	monophyletic		C01ceras,JN280364,BC_ZSM_Lep_50930,BC_ZSM_Lep_35022,BC_ZSM_Lep_35020,JF848215,JF848335,JF848300,JF848306	
Phyllonorycter chiclanella	monophyletic		HM392496	
Phyllonorycter cocciferella	monophyletic		H03cocci,H02cocci	
Phyllonorycter comparella	monophyletic		JN280286,B08compar,B09compar,JN299401	
Phyllonorycter connexella	monophyletic		C11conex,CLV1744,JF848448,BC_ZSM_Lep_46401,JF848173,TLMF_Lep_07416,TLMF_Lep_07331	
Phyllonorycter coryli	monophyletic		CLV2950,BC_ZSM_Lep_50785,A01coryl,JN280425,HM873632,JN299834	
Phyllonorycter corylifoliella	monophyletic		CLV2861,HM392549,JN280223,CLV2594,CLV2591,JN280271,JN280272,B02coryl,JN280202,JN280412,MM06298,CLV2859,HM871061,CLV1748,HQ988352,HM871124,HM871088	
Phyllonorycter cydoniella	paraphyletic	Phyllonorycter anceps,Phyllonorycter blancardella,Phyllonorycter gerasimowi,Phyllonorycter hostis,Phyllonorycter mespilella,Phyllonorycter oxyacanthae,Phyllonorycter sorbi	B08cydon,HQ955696	
Phyllonorycter cytisifoliae	monophyletic		HM392550	
Phyllonorycter delitella	monophyletic		JN280171,CLV2596,F11delit,JF848184,CLV23007	
Phyllonorycter deschkai	monophyletic		TLMF_Lep_07952,JN280423,HM902897,JN280297,CLV2764,CLV1693,JF848357	
Phyllonorycter deschkanus	monophyletic		D03desch,D02desch	
Phyllonorycter distentella	monophyletic		JN280234,CLV2402,JN280233,CLV8608,JF848207,F05diste,JF848240	
Phyllonorycter dubitella	monophyletic		JN280355,JF848187,HQ955695,HM872368,C04dubit,C05dubit,BC_ZSM_Lep_50890,TLMF_Lep_05331	
Phyllonorycter echinosparti	monophyletic		KC567642,HM392511,KC567645,KC567641,TLMF_Lep_08346,HM392502,KC567659	
Phyllonorycter emberizaepenella	monophyletic		RMNH.INS.544444,A11ember,A10ember,BC_ZSM_Lep_50789	
Phyllonorycter endryella	monophyletic		G08endry,JN280242,JN280426	
Phyllonorycter esperella	monophyletic		CLV2569,JF848185,CLV2528,BC_ZSM_Lep_61361,BC_ZSM_Lep_50877	
Phyllonorycter estrela	monophyletic		ALestre1,C11estre	
Phyllonorycter etnensis	monophyletic		KC567626	
Phyllonorycter eugregori	monophyletic		LD6eugre,LD5eugre	
Phyllonorycter fiumella	monophyletic		JN280303	
Phyllonorycter floridae	monophyletic		HM392504	
Phyllonorycter foliolosi	monophyletic		HM392551	
Phyllonorycter fraxinella	monophyletic		CLV2799,CLV2800,JN820115	
Phyllonorycter froelichiella	polyphyletic	Phyllonorycter nicellii	HQ955707,BC_ZSM_Lep_35096,BC_ZSM_Lep_50912,BC_ZSM_Lep_50786,JN280358,HM875021,TLMF_Lep_07330,CLV2593,BC_ZSM_Lep_50787	
Phyllonorycter geniculella	monophyletic		CLV26307,JF848476,JF848470,JF848220,C09genic,BC_ZSM_Lep_50791	
Phyllonorycter genistella	monophyletic		D08genis	
Phyllonorycter gerasimowi	paraphyletic	Phyllonorycter blancardella	LG10gera,HM392487	
Phyllonorycter haasi	monophyletic		E05haasi,C04haasi	
Phyllonorycter harrisella	monophyletic		HM875026,H12harri,HM875027,HM875016,CLV2561,JF848434,JF848204,JF848206	
Phyllonorycter heegeriella	monophyletic		JF848344,BC_ZSM_Lep_50918	
Phyllonorycter helianthemella	monophyletic		CLV5220,HM392499,HM392497,JN280290,STG54,HM392501,CLV5225,HM392498,HM392512,HM392500	
Phyllonorycter hesperiella	monophyletic		KC567652	
Phyllonorycter hilarella	monophyletic		JF848188,JF848346,HM873182,CLV1877,CLV23607	
Phyllonorycter hostis	paraphyletic	Phyllonorycter cydoniella,Phyllonorycter oxyacanthae	JN280196,LH6hosti,HQ955709,D13M1,C25F1,D20F1,CLV2788,E11F1	
Phyllonorycter ilicifoliella	monophyletic		G06ilici	
Phyllonorycter insignitella	monophyletic		LE1insig,CLV1763,JN299404,JF848216,HM874392,JN280251	
Phyllonorycter issikii	monophyletic		B05issik,JF848426,B04issik,JF848225,HM392461,JN299423,BC_ZSM_Lep_50927,JF848406,HM871241	
Phyllonorycter joannisi	monophyletic		BC_ZSM_Lep_61355,HM392489,HM392562,RMNH.INS.544341	
Phyllonorycter juncei	monophyletic		TLMF_Lep_04703,TLMF_Lep_04701,TLMF_Lep_04700,TLMF_Lep_04702	
Phyllonorycter junoniella	monophyletic		HM873759,HQ957012,HM392479,JN280419,JF848310	
Phyllonorycter klemannella	monophyletic		BC_ZSM_Lep_50901,RMNH.INS.538512,BC_ZSM_Lep_50793,JN299406,JN280268	
Phyllonorycter klimeschiella	monophyletic		JN280328	
Phyllonorycter kuhlweiniella	monophyletic		HM392485,HQ957015,JN280168,HM392484	
Phyllonorycter kusdasi	monophyletic		F06kusda,JN280240,LC4kusda	
Phyllonorycter lantanella	monophyletic		CLV2310,JF848407,CLV2555,JF848270,MM20749,MM20750	
Phyllonorycter lapadiella	monophyletic		KC567627,HQ956763	
Phyllonorycter lautella	monophyletic		HM875025,GU706671,BC_ZSM_Lep_35028,HM392555	
Phyllonorycter leucographella	monophyletic		B04leuco	
Phyllonorycter macedonica	monophyletic		CLV2785	
Phyllonorycter maestingella	monophyletic		HM392481,JF848282,JF848450,HQ955710,JN280365,CLV2521,JF848202,JF848461	
Phyllonorycter mannii	monophyletic		F07manni	
Phyllonorycter medicaginella	monophyletic		BC_ZSM_Lep_53180,BC_ZSM_Lep_50931	
Phyllonorycter mespilella	monophyletic		C22M4,B01mespi,B2F1,C7F1,JN280195,Alhosti1,HM392553,C16M3,JN280232	
Phyllonorycter messaniella	monophyletic		JN280179,UKLB31C07,RMNH.INS.544496,JN280243,CLV2322,CLV7908,STG62,JN280183,JF848301,MM19370	
Phyllonorycter millierella	monophyletic		JF848222,HM392478	
Phyllonorycter monspessulanella	monophyletic		JF848224	
Phyllonorycter muelleriella	monophyletic		BC_ZSM_Lep_35016,JN280188,JN280189,HM392558	
Phyllonorycter myricae	monophyletic		JN280310	
Phyllonorycter nevadensis	monophyletic		CLV5116,D07nevad,D06nevad	
Phyllonorycter nicellii	polyphyletic	Phyllonorycter froelichiella	JN280266,A05nicel,CLV2556,JN280211,JF848197,JF848201	
Phyllonorycter nigrescentella	monophyletic		HM392559,JF854692,HM392494,MM22058	
Phyllonorycter nivalis	monophyletic		HM392493	
Phyllonorycter ochreojunctella	monophyletic		JN280337,LC11ochr,HM392491,JF848219,LC12ochr,CLV2442	
Phyllonorycter olympica	monophyletic		CLV2835,HM392507	
Phyllonorycter oxyacanthae	paraphyletic	Phyllonorycter blancardella,Phyllonorycter cydoniella,Phyllonorycter gerasimowi,Phyllonorycter hostis	A09oxyac,A11oxyac,LF9mespi,JF848475,JN280191,HQ955700,JF848193,BC_ZSM_Lep_50782,CLV2574	
Phyllonorycter parisiella	monophyletic		JF848235,JF848183	
Phyllonorycter parvifoliella	monophyletic		CLV5214	
Phyllonorycter pastorella	monophyletic		JN280273,JN280278,C08pastor,BC_ZSM_Lep_46406,C07pastor,JF848175,HM874637	
Phyllonorycter phyllocytisi	monophyletic		LD2phyll,CLV2340	
Phyllonorycter platani	monophyletic		JN280341,A04plat	
Phyllonorycter populifoliella	monophyletic		HM876079,BC_ZSM_Lep_46403,CLV26807,HM876078,HM872013	
Phyllonorycter pumila	monophyletic		KC567658	
Phyllonorycter purgantella	monophyletic		C08purga,C07purga,C06purga	
Phyllonorycter quercifoliella	monophyletic		LD8querc,CLV8108,JN280312,CLV2565,CLV8408,RMNH.INS.538791,JN280317,JN280313,CLV1741,CLV1540,RMNH.INS.538479,RMNH.INS.544514,BC_ZSM_Lep_46410,JF848179,JN280316,JN280177,HM875011,HM875020,BC_ZSM_Lep_61375,BC_ZSM_Lep_46409,JN280176	
Phyllonorycter quinqueguttella	monophyletic		HM873168,HM874838,B10quin,UKLB33H11,HM872795	
Phyllonorycter rajella	monophyletic		CLV2577,JN299393,JN280353,JF848236,BC_ZSM_Lep_50895,RMNH.INS.538514,RMNH.INS.538516,HQ955697,HM875038,LE9rajel,BC_ZSM_Lep_50896,RMNH.INS.544511	
Phyllonorycter rebimbasi	monophyletic		H04rebim,LC7rebim	
Phyllonorycter roboris	monophyletic		JN299407,MM18092,BC_ZSM_Lep_35014,BC_ZSM_Lep_50914,CLV2817,JN280360,F02robor,JN280165,F03robor,CLV2592,LB7robor,HM874183,JF848208	
Phyllonorycter rolandi	monophyletic		HM876339,HM876338,DP09116	
Phyllonorycter sagitella	monophyletic		CLV1881,CLV26907,JF848176,BC_ZSM_Lep_46405,BC_ZSM_Lep_46404,HM875766,HM873616	
Phyllonorycter salicicolella	paraphyletic	Phyllonorycter brevilineatella	HM872365,B11salic,CLV2823,CLV2032,CLV2826,JN280212,HM872366,HQ955706,HM392471,CLV2582,HM392561,JN280283,HM392474,HM876288,HQ955705,CLV2581,CLV2583,MM19886,HM392472,JF848186,HM902853,HM874852,JN280203,CLV2824,UKLB41G08,HM902852,HM874855,BC_ZSM_Lep_50887,CLV2420	
Phyllonorycter salictella	monophyletic		JF848345,JF848244,JN280367,JN280368,HM872356,HM392467,HM392465,MM04270,MM04241,HM392469,JN280373,JN280222,JN280201,UKLB41E09,JN280369,UKLB42D09,BC_ZSM_Lep_50882,CLV2831,JN280200,CLV2830,JF848281,CLV1551,JN280372,CLV25507,JF848253,CLV2829,C02salict,HQ955694,HM872358,HM874217,HM872359,HM872351,MM19884,MM04249,HM872345,MM04260,HM875042,HM872350,MM04258,JF853587	
Phyllonorycter scabiosella	monophyletic		A07scab,JN280334,JF848211,CLV2417,JN280258	
Phyllonorycter schreberella	monophyletic		CLV2563,A12schreb,BC_ZSM_Lep_50906	
Phyllonorycter scitulella	monophyletic		LG3scitu	
Phyllonorycter scopariella	monophyletic		C02scopa	
Phyllonorycter sorbi	monophyletic		CLV2571,HQ563787,HM872840,JN280236,JF853539,A08sorbi,HM872371,MM16087,JN280190,A07sorbi	
Phyllonorycter spinicolella	monophyletic		HM405769,JN299394,A04spini,H06spin,A03spini	
Phyllonorycter staintoniella	monophyletic		E01stain,E02stain,HM405770	
Phyllonorycter stettinensis	monophyletic		HM874267,HM874268,JF848454,D05stett,BC_ZSM_Lep_50904,JN280363	
Phyllonorycter strigulatella	monophyletic		JF848269,HM392567,HM392483,TLMF_Lep_07992,RMNH.INS.540803,BC_ZSM_Lep_61385,BC_ZSM_Lep_50894,HM902813,HM871062,HM874225	
Phyllonorycter suaveolentis	monophyletic		CLV5227,CLV5229,CLV5216	
Phyllonorycter suberifoliella	monophyletic		LC8suber,HM392508	
Phyllonorycter sublautella	monophyletic		F09subla	
Phyllonorycter telinella	monophyletic		E02telin	
Phyllonorycter tenerella	monophyletic		JF848205,JF848471,BC_ZSM_Lep_50920,BC_ZSM_Lep_61386	
Phyllonorycter tridentatae	monophyletic		C12tride	
Phyllonorycter trifasciella	monophyletic		JF848213,JN280260,STG55	
Phyllonorycter triflorella	polyphyletic	Phyllonorycter adenocarpi,Phyllonorycter argyrolobiella,Phyllonorycter parvifoliella	D12trifl,JN280295,JN280293,D11trifl,STG53,E11trifl,E12trifl,JN280294	
Phyllonorycter trifoliella	monophyletic		JF853603,JF853449,HM874283	
Phyllonorycter tristrigella	monophyletic		HM874406,HQ955699	
Phyllonorycter trojana	monophyletic		CLV2843,CLV2842,HM392492	
Phyllonorycter ulicicolella	monophyletic		KC567643,JN280225,KC567646	
Phyllonorycter ulmifoliella	monophyletic		JN280418,JN280413,B06ulmif,B07ulmif,JF848182,JN280219,JN280204,JN280208,CLV1631,JN280216,JN280206	
Phyllonorycter viminetorum	monophyletic		LF10vimi	
Phyllonorycter vueltas	monophyletic		KC567660,KC567655	
Phyllonorycter vulturella	monophyletic		CLV2336	
Povolnya leucapennella	monophyletic		G04leuc,JN271927,JF848161,HM873947	
Spulerina simploniella	monophyletic		CLV2519,ALsimpl1	
