Species	Assessment	Tanglees	IDs	Metadata
Acanthopsyche atra	paraphyletic	Acanthopsyche zelleri	clv26,MM08398,CLV3518,CLV23908,CLV3516,CLV3517,clv25,MM13930,MM05703	
Acanthopsyche ecksteini	monophyletic		CLV3543	
Acanthopsyche zelleri	paraphyletic	Acanthopsyche atra	CLV3515,CLV1716,CLV3456	
Amicta cabrerai	monophyletic		CLV18808	
Anaproutia comitella	monophyletic		CLV23108,CLV3664,CLV1732,CLV341011,CLV3415,CLV340911,CLV3412,CLV3417,CLV3665,CLV1711	
Anaproutia norvegica	monophyletic		MM08507,MM15521,MM08508	
Anaproutia raiblensis	monophyletic		CLV3666,CLV3668,CLV3459,CLV1722,CLV3418,CLV3663,CLV3667,CLV3662,CLV3653	
Anaproutia reticulatella	monophyletic		TLMF Lep 07768,TLMF Lep 07767,TLMF Lep 07766	
Bacotia claustrella	monophyletic		BC ZSM Lep 29212,CLV20308,clv20,clv106	
Bankesia conspurcatella	monophyletic		MM19358,clv07.1,clv07	
Bankesia montanella	monophyletic		CLV5115	
Bijugis bombycella	paraphyletic	Bijugis pectinella	CLV3485,BC ZSM Lep 53205,BC ZSM Lep 64273,BC ZSM Lep 41975,TLMF Lep 02259,BC ZSM Lep 25382,CLV18208	
Bijugis pectinella	monophyletic		clv41	
Brevantennia adriatica	monophyletic		CLV3639,CLV3640	
Brevantennia reliqua	monophyletic		CLV3394,CLV3637,CLV3635,CLV3395,CLV3636,CLV3393,CLV3638	
Brevantennia styriaca	monophyletic		STG82,CLV3604,CLV3634,CLV1724	
Brevantennia triglavensis	monophyletic		CLV3392,CLV3641,CLV3643	
Canephora hirsuta	monophyletic		CLV1729,MM00310,CLV3564,CLV3562,MM17363,CLV3563,CLV3559,CLV3566,MM19908,CLV3568,CLV3561,CLV3560,BC ZSM Lep 50692,CLV3567,clv47,BC ZSM Lep 30805,CLV3565,MM08632,clv179,clv180	
Dahlica triquetrella	monophyletic		CLV5119,CLV0509,clv06,MM09674,BC ZSM Lep 29209,CLV3605,CLV361011,CLV3611,CLV3452,CLV3453,CLV3606,CLV360711,CLV360911,CLV360811,CLV3617,CLV3614,MM14716,CLV5120,CLV3615,CLV3616,CLV3612,CLV3618	
Diplodoma laichartingella	monophyletic		BC ZSM Lep 64281,CLV1723,clv16,MM10121,MM05826,MM05707,MM08640,BC ZSM Lep 53307,MM20606,clv16.1,MM13096	
Dryadaula heindeli	monophyletic		BC ZSM Lep 53186	
Epichnopterix alpina	polyphyletic	Epichnopterix kovacsi,Epichnopterix montana,Epichnopterix plumella,Epichnopterix sieboldi	CLV3498,TLMF Lep 06840,TLMF Lep 06839,TLMF Lep 06831,TLMF Lep 06833,TLMF Lep 06832,CLV23008,CLV3500,CLV3499	
Epichnopterix kovacsi	polyphyletic	Epichnopterix alpina,Epichnopterix montana,Epichnopterix plumella,Epichnopterix sieboldi	CLV23308,CLV3494,CLV1721	
Epichnopterix montana	paraphyletic	Epichnopterix alpina,Epichnopterix kovacsi,Epichnopterix plumella,Epichnopterix sieboldi	CLV5123,CLV3496,CLV3497	
Epichnopterix plumella	polyphyletic	Epichnopterix alpina,Epichnopterix kovacsi,Epichnopterix montana,Epichnopterix sieboldi	clv79,clv14,MM20607,BC ZSM Lep 64277	
Epichnopterix sieboldi	polyphyletic	Epichnopterix alpina,Epichnopterix kovacsi,Epichnopterix montana,Epichnopterix plumella	BC ZSM Lep 27823,CLV5124,BC ZSM Lep add 0137,CLV3495,clv42,BC ZSM Lep 64278	
Eumasia parietariella	monophyletic		STG79,TLMF Lep 03889,TLMF Lep 03888,CLV3434,CLV3433,STG80,TLMF Lep 02176,TLMF Lep 07752,TLMF Lep 07753,CLV2198,TLMF Lep 06457	
Leptopterix hirsutella	monophyletic		BC ZSM Lep 64280,CLV3558	
Luffia ferchaultella	paraphyletic	Luffia lapidella	clv03,clv04,clv02	
Luffia lapidella	paraphyletic	Luffia ferchaultella	clv52,clv01.1,clv35	
Megalophanes stetinensis	paraphyletic	Megalophanes turatii,Megalophanes viciella	clv31,clv32,clv30	
Megalophanes turatii	polyphyletic	Megalophanes stetinensis,Megalophanes viciella	TLMF Lep 07748,TLMF Lep 07749,CLV3526,CLV3525	
Megalophanes viciella	paraphyletic	Megalophanes stetinensis,Megalophanes turatii	BC ZSM Lep 53184,TLMF Lep 07747,BC ZSM Lep 37966,BC ZSM Lep 51370,TLMF Lep 07750,TLMF Lep 07751,TLMF Lep 07744,STG78,CLV3470,CLV3527,CLV3469,clv49	
Narycia duplicella	monophyletic		BC ZSM Lep 29210,CLV3451,MM19356,TLMF Lep 02377,CLV3577,CLV3574,CLV3449,CLV3576,UKLB31E02,CLV3578,CLV3575,CLV3450,BC ZSM Lep 24918,clv10,clv17	
Oiketicoides febretta	monophyletic		CLV3455,CLV3454	
Oiketicoides lutea	monophyletic		BC ZSM Lep 31933	
Oreopsyche tenella	monophyletic		CLV19008	
Pachythelia villosella	monophyletic		CLV5125,MM14630,CLV351011,CLV3514,clv28,clv27,MM14629,CLV3511,CLV3513,UT12,CLV24208,CLV3512,TLMF Lep 07774,TLMF Lep 07773	
Penestoglossa dardoinella	monophyletic		CLV18608,BC ZSM Lep 30809	
Phalacropterix apiformis	monophyletic		CLV5128,CLV3546	
Phalacropterix fritschi	monophyletic		CLV5129	
Phalacropterix graslinella	monophyletic		CLV3557,clv50,MM05485,MM05491,MM18078,CLV3522,CLV3524,CLV3556	
Phalacropterix praecellens	monophyletic		CLV3521,CLV3519,CLV3523,CLV3520,CLV3385,CLV3384	
Placodoma calpella	monophyletic		CLV27207,CLV27307	
Postsolenobia juliella	paraphyletic	Postsolenobia nanosella	CLV3400,CLV3399,CLV1728,CLV1989,CLV1986,CLV3581,CLV3583,CLV3582,CLV3401,CLV3402	
Postsolenobia nanosella	paraphyletic	Postsolenobia juliella	CLV3405,CLV3579,CLV3404,CLV3580,CLV1990,CLV1991	
Postsolenobia thomanni	monophyletic		CLV510812	
Proutia betulina	paraphyletic	Proutia rotunda	CLV3432,CLV3458,clv158,CLV3430,CLV3429,CLV3439,TLMF Lep 08235,CLV3431,clv159,clv22,CLV3462,BC ZSM Lep 29213	
Proutia rotunda	paraphyletic	Proutia betulina	MM17048,UT02	
Pseudobankesia casaella	monophyletic		CLV5113	
Pseudobankesia vernella	monophyletic		CLV5112,TLMF Lep 06830,TLMF Lep 06829,CLV18108	
Psyche casta	monophyletic		CLV3457,MM06274,CLV3428,CLV3444,MM21036,MM10019,BC ZSM Lep 29214,MM21034,BC ZSM Lep 37967,BC ZSM Lep 35040,BC ZSM Lep 36631,BC ZSM Lep 53194,MM14890,CLV3461,MM08506,CLV3423,CLV3442,MM21175,MM12066,CLV3443,MM06387,CLV3424,MM06388,MM08505,MM14342,CLV3464,MM21160,MM14341,MM06556,MM00049,MM18619,CLV3441,clv08,MM21035,MM08593	
Psyche crassiorella	monophyletic		BC ZSM Lep 64282,MM12065,BC ZSM Lep 30807,MM13250,CLV1713,TLMF Lep 02260,CLV1712,MM13247,CLV1715,UT14,BC ZSM Lep 61597,CLV5122,CLV3425,MM13251,CLV23408,MM13248,MM13249,CLV3419,CLV3427,TLMF Lep 06612,CLV3463	
Psychidea nudella	monophyletic		STG90	
Ptilocephala agrostidis	monophyletic		CLV3540	
Ptilocephala albida	polyphyletic	Leptopterix hirsutella,Oreopsyche tenella,Ptilocephala colossa,Ptilocephala matthesi,Ptilocephala muscella,Ptilocephala plumifera,Ptilocephala pyrenaella,Ptilocephala wockei	BC ZSM Lep 63481,TLMF Lep 07779,TLMF Lep 07780,TLMF Lep 06843	
Ptilocephala colossa	monophyletic		CLV19108	
Ptilocephala kahri	monophyletic		BC ZSM Lep 30806	
Ptilocephala matthesi	polyphyletic	Leptopterix hirsutella,Oreopsyche tenella,Ptilocephala albida,Ptilocephala colossa,Ptilocephala muscella,Ptilocephala plumifera,Ptilocephala pyrenaella,Ptilocephala wockei	TLMF Lep 06844,CLV3541,CLV19208	
Ptilocephala muscella	monophyletic		CLV3550,CLV3553,TLMF Lep 06834,TLMF Lep 06836,TLMF Lep 06835,CLV3552,TLMF Lep 03680,TLMF Lep 03679	
Ptilocephala plumifera	monophyletic		TLMF Lep 07783,TLMF Lep 06845,CLV5127,TLMF Lep 07784,TLMF Lep 07781,CLV3549,CLV3488,clv48,CLV1994,CLV1717	
Ptilocephala pyrenaella	monophyletic		CLV3544	
Ptilocephala wockei	monophyletic		BC ZSM Lep 63482,CLV3555,CLV3554	
Rebelia bavarica	monophyletic		BC ZSM Lep 37491	
Rebelia herrichiella	monophyletic		BC ZSM Lep add 0140,BC ZSM Lep add 0135,BC ZSM Lep add 0132	
Rebelia sapho	monophyletic		CLV3465	
Rebelia styriaca	monophyletic		CLV3482	
Sciopetris melitensis	monophyletic		CLV27007	
Sterrhopterix fusca	paraphyletic	Sterrhopterix standfussi	BC ZSM Lep 50690,BC ZSM Lep 53190,clv29,CLV3571,BC ZSM Lep 51066,BC ZSM Lep 64274,CLV3572,CLV3569,TLMF Lep 00281,clv100,CLV3570,CLV1714	
Sterrhopterix standfussi	monophyletic		MM17518,CLV1718,MM08501,MM08502,BC ZSM Lep 50691,BC ZSM Lep 64275,TLMF Lep 02756,MM14127,BC ZSM Lep 27793	
Stichobasis postmeridianus	monophyletic		CLV5010	
Taleporia borealis	paraphyletic	Taleporia tubulosa	MM08287,MM08276,MM08591,MM08592	
Taleporia defoliella	monophyletic		CLV5111	
Taleporia politella	polyphyletic	Taleporia tubulosa	TLMF Lep 04112,TLMF Lep 02170,TLMF Lep 06613,CLV23708,CLV23608,CLV1733,CLV3388	
Taleporia tubulosa	polyphyletic	Taleporia borealis,Taleporia politella	CLV3647,CLV3530,CLV3534,UT07,CLV3646,NHMO-07002,MM02175,CLV1731,TLMF Lep 02172,UT09,UT08,CLV3535,MM14274,MM05290,BC ZSM Lep 53199,CLV3536,BC ZSM Lep 64348,BC ZSM Lep 29211,CLV3648,CLV3531,MM13263,CLV23508,BC ZSM Lep 64276,clv13,clv18,MM09952,CLV3529,CLV3649,CLV3538,CLV3532,MM02176,KLM Lep 00359,CLV5121,MM09951,MM10085,clv12,TLMF Lep 08242	
Typhonia beatricis	monophyletic		CLV27107,BC ZSM Lep 63487,BC ZSM Lep 63485,BC ZSM Lep 63484	
Typhonia ciliaris	paraphyletic	Typhonia beatricis,Typhonia pliginskii	CLV18508,CLV3386,CLV3387,BC ZSM Lep 63483,CLV18308,TLMF Lep 05247	
Typhonia pliginskii	monophyletic		CLV18408	
Whittleia retiella	monophyletic		MM20558,MM18871,clv103,clv78	
