Species	Assessment	Tanglees	IDs	Metadata
Dyseriocrania subpurpurella	monophyletic		TLMF Lep 04983,BC ZSM Lep 50809,TLMF Lep 02369,UKLB27F01,MM05356,BC ZSM Lep 29126,MM17300,RMNH.INS.540907,TLMF Lep 02370,BC ZSM Lep 29127,MM05325,MM17299,BC ZSM Lep 29125,MM05294,KLM Lep 00365	
Eriocrania cicatricella	monophyletic		MM00436,BC ZSM Lep 23235,MM17913,MM08798,NHMO-08006,MM08792,BC ZSM Lep 29129,MM17914	
Eriocrania salopiella	monophyletic		MM15503,BC ZSM Lep 23231	
Eriocrania sangii	monophyletic		MM05747,MM17924,MM05750,MM21223,MM17929,MM08793,TLMF Lep 02973,MM14777,MM19766,MM08799,MM17927,MM19767,MM00431,MM19761,MM19759,BC ZSM Lep 50806,MM00391,MM19760,MM08795,MM17926,MM17954,MM17912,MM12061,MM05315,MM05316	
Eriocrania semipurpurella	paraphyletic	Eriocrania sangii	MM13110,MM19833,MM19773,MM00390,MM16679,MM00392,MM00404,KLM Lep 00366,MM19755,MM13106,MM08797,MM19768,TLMF Lep 06672,MM14781,MM19753,MM13117,MM17923,MM00429,MM08794,BC ZSM Lep 50807,MM13105,MM19771,MM05748,MM16676,MM21225,MM17910,MM13111,TLMF Lep 01774,MM13129,MM19830,MM17909,NHMO-08002,MM00405,BC ZSM Lep 61472,TLMF Lep 02954,MM19757,MM09028,MM21220,MM16677,MM21221,MM17955,MM13122,MM19828,MM21219,MM17925,MM16675,MM00432,MM17922,MM13125,MM19764,MM19770,MM13119,MM17928,NHMO-08003,MM05745,MM21222,MM19776,MM00430,MM12060,MM19838,MM19835,MM21224,MM19756,MM13128,MM19769,MM13108,MM05324,MM19775,MM19827,MM13124,MM13121,MM05742,MM14779,MM14780,MM21218,MM14778,MM19750,MM19754,MM19837,MM19826,MM19765,MM05320,MM13126,MM13116,MM13127,MM00403,MM13109,MM05749,MM13113,MM08796,MM13123,MM13107,MM19825,MM05746,MM00434,MM13112,MM00414,MM05319,MM19752,MM13130,MM05321,MM13118,MM19831,MM05323,MM19751	
Eriocrania sparrmannella	monophyletic		BC ZSM Lep 23236,MM08559,MM14627,MM13938,MM13914	
Heringocrania unimaculella	monophyletic		BC ZSM Lep 50808,BC ZSM Lep 29128,MM08800,MM17911,TLMF Lep 02953,MM00433	
Micropterix tunbergella	monophyletic		TLMF Lep 07950	
