Species	Assessment	Tanglees	IDs	Metadata
Stigmella filipendulae	monophyletic		RMNH.INS.12776,RMNH.INS.11801,MM06260,MM09633,MM06261,MM21188,MM05375,MM00902,MM00901	
Stigmella floslactella	monophyletic		KLM Lep 00312,KLM Lep 00316,MM09606,MM09605,TLMF Lep 08300,MM07007	
Stigmella glutinosae	monophyletic		MM05731,MM16604,MM10670	
Stigmella hemargyrella	monophyletic		TLMF Lep 07492,MM19330,MM19325	
Stigmella hybnerella	monophyletic		RMNH.INS.544466,RMNH.INS.544429,RMNH.INS.544428,MM09669,KLM Lep 00306,MM09668,MM09600,KLM Lep 00307,KLM Lep 00279	
Stigmella incognitella	monophyletic		MM09628,MM09627,MM03523	
Stigmella johanssonella	monophyletic		KLM Lep 00277,TLMF Lep 04520,TLMF Lep 03025,KLM Lep 00321,KLM Lep 00305,KLM Lep 00309,KLM Lep 00301	
Stigmella lapponica	monophyletic		MM02646,MM14885,MM09950,MM02645	
Stigmella lediella	monophyletic		MM09354,MM09353,MM09352	
Stigmella lemniscella	monophyletic		MM09647,MM09646	
Stigmella lonicerarum	monophyletic		MM00909,MM00908,MM00907	
Stigmella luteella	monophyletic		MM18053,MM00927,MM00928,KLM Lep 00297	
Stigmella magdalenae	monophyletic		MM18598,MM18597,MM18596	
Stigmella malella	monophyletic		MM19319,RMNH.INS.538507,RMNH.INS.538505	
Stigmella microtheriella	monophyletic		MM09608,MM07008,MM07009,KLM Lep 00286	
Stigmella minusculella	monophyletic		MM19324	
Stigmella myrtillella	monophyletic		RMNH.INS.12907,MM21040,RMNH.INS.12780,MM15174,MM06330,MM00936,MM00935,KLM Lep 00319,BC ZSM Lep 50943,RMNH.INS.12772,RMNH.INS.12771,RMNH.INS.11436	
Stigmella naturnella	monophyletic		KLM Lep 00314	
Stigmella nylandriella	monophyletic		MM07001,MM09644,MM07002,MM18599,RMNH.INS.544427,RMNH.INS.544426	
Stigmella obliquella	monophyletic		RMNH.INS.12634,MM15185,MM15173,KLM Lep 00295,MM15172,RMNH.INS.544340,MM08696,RMNH.INS.12770,RMNH.INS.17791,RMNH.INS.11340,RMNH.INS.11339,KLM Lep 00281	
Stigmella oxyacanthella	monophyletic		MM09650,MM00900,MM00899,BC ZSM Lep 50946	
Stigmella perpygmaeella	monophyletic		MM00881,MM00880	
Stigmella plagicolella	monophyletic		MM19327,MM22081,MM20731,MM16081	
Stigmella poterii	monophyletic		MM09301,MM15166,MM19329,MM15199,MM15168,MM15167,MM08697,MM08695	
Stigmella pretiosa	monophyletic		MM22761,MM09643,TLMF Lep 02872,MM09642	
Stigmella prunetorum	monophyletic		UKLB39A05,MM19318	
Stigmella pyri	monophyletic		MM19321	
Stigmella roborella	monophyletic		TLMF Lep 06449,MM11168	
Stigmella ruficapitella	monophyletic		MM09388,MM09418,MM09386,MM19883,TLMF Lep 04518,TLMF Lep 03024,TLMF Lep 03023,MM19879,MM16018,MM15977,MM09421,MM09419,MM09420,MM19882,MM09385,MM09389,MM09422,MM09387	
Stigmella salicis	polyphyletic	Stigmella myrtillella,Stigmella obliquella,Stigmella vimineticola,Stigmella zelleriella	RMNH.INS.23929,RMNH.INS.23622,RMNH.INS.12002,RMNH.INS.12775,RMNH.INS.12774,MM20739,MM09623,MM21283,MM09622,MM21282,RMNH.INS.23740,MM23190,MM21195,MM03444,MM22070,MM22077,MM22085,MM22069,MM22076,MM22075,MM22074,MM22073,RMNH.INS.12659,MM22084,MM20740,MM09625,RMNH.INS.17789,KLM Lep 00303,RMNH.INS.17601,RMNH.INS.17790,RMNH.INS.23930,RMNH.INS.12660,MM22082,MM22072,MM21275,MM21041,MM23194,RMNH.INS.544439,MM23193,MM23195,RMNH.INS.23822,MM14055,MM22071,RMNH.INS.12769,KLM Lep 00315,MM20745,MM21279,RMNH.INS.17878,RMNH.INS.17877,RMNH.INS.12768,MM21278,MM20744,MM22824,MM14191,MM20742,RMNH.INS.12641,MM09436,MM21193,MM21276,MM09624,MM21280,MM21039,MM22079,MM09384,MM09383,MM06304,MM02641,MM20743,MM21038,MM20746,MM22890,RMNH.INS.544440,MM07006,MM20741,MM16629,MM23204,RMNH.INS.11241,MM09304,MM00940,RMNH.INS.11370,RMNH.INS.544441,MM22078,MM09432,MM09431	
Stigmella samiatella	monophyletic		TLMF Lep 04513,RMNH.INS.544339,TLMF Lep 04514,TLMF Lep 02992,RMNH.INS.544337,KLM Lep 00298,RMNH.INS.538519,MM16019	
Stigmella sanguisorbae	monophyletic		TLMF Lep 08458	
Stigmella sorbi	monophyletic		MM14882,MM14881	
Stigmella splendidissimella	monophyletic		RMNH.INS.11366,MM15165,MM09337,MM09629,RMNH.INS.11365,MM22088,MM09423,MM06616	
Stigmella suberivora	monophyletic		KLM Lep 00280	
Stigmella tiliae	monophyletic		MM09206	
Stigmella tityrella	monophyletic		TLMF Lep 07954,MM19326,KLM Lep 00304,KLM Lep 00300	
Stigmella tormentillella	monophyletic		RMNH.INS.17945,RMNH.INS.11701	
Stigmella trimaculella	monophyletic		MM15181,RMNH.INS.12926,RMNH.INS.12623,MM15180,MM15179	
Stigmella tristis	monophyletic		MM18059,MM18058	
Stigmella ulmivora	monophyletic		MM09661,MM09660	
Stigmella vimineticola	monophyletic		RMNH.INS.17684,TLMF Lep 07333,TLMF Lep 07337,RMNH.INS.17605	
Stigmella zelleriella	monophyletic		MM09373,RMNH.INS.12751,MM14846,MM14708,RMNH.INS.12750,RMNH.INS.12749,RMNH.INS.12748,RMNH.INS.12747,MM09372,MM09371,MM09370,MM09365,MM09364,RMNH.INS.12757,RMNH.INS.12755,RMNH.INS.17795,MM14707,RMNH.INS.17792,RMNH.INS.12759,RMNH.INS.12758,RMNH.INS.12752,RMNH.INS.12756,RMNH.INS.12681,RMNH.INS.12680,RMNH.INS.12754,RMNH.INS.12753,RMNH.INS.11932,RMNH.INS.11931,RMNH.INS.11377	
Trifurcula beirnei	monophyletic		KLM Lep 00310	
Trifurcula headleyella	monophyletic		MM18060,MM15970	
Trifurcula immundella	monophyletic		MM19335	
Trifurcula subnitidella	monophyletic		MM17946,MM17945,MM17944	
Trifurcula thymi	monophyletic		KLM Lep 00320	
