Species	Assessment	Tanglees	IDs	Metadata
Adela albicinctella	monophyletic		BC ZSM Lep 46340	
Adela australis	monophyletic		TLMF Lep 05709	
Adela croesella	monophyletic		BC ZSM Lep 25112,TLMF Lep 05707,RMNH.INS.540930,MM06199,TLMF Lep 05706,MM03815,MM06216,BC ZSM Lep 29146,NHMO-07017	
Adela cuprella	monophyletic		MM13911,BC ZSM Lep 61469,MM08788,BC ZSM Lep 37773,BC ZSM Lep 29143,MM04049	
Adela mazzolella	monophyletic		TLMF Lep 06526,TLMF Lep 05701,TLMF Lep 05700	
Adela reaumurella	monophyletic		BC ZSM Lep 29142,BC ZSM Lep 37772,BC ZSM Lep 25476,UKLB31D11	
Adela violella	monophyletic		TLMF Lep 05702,TLMF Lep 05703,BC ZSM Lep 29141,BC ZSM Lep 37771,BC ZSM Lep 29114,TLMF Lep 05704	
Cauchas albiantennella	paraphyletic	Cauchas leucocerella	TLMF Lep 01041,TLMF Lep 00935,TLMF Lep 05727,TLMF Lep 05689,TLMF Lep 05690,TLMF Lep 01040	
Cauchas breviantennella	monophyletic		MM03963,MM18064	
Cauchas fibulella	monophyletic		TLMF Lep 05688,UKLB29F06,BC ZSM Lep 29148,MM06127,TLMF Lep 05687,TLMF Lep 00559,MM06128,MM09852,KLM Lep 00372,KLM Lep 00370,BC ZSM Lep 29147,TLMF Lep 05686,UKLB32C06,BC ZSM Lep 50811,TLMF Lep 02354	
Cauchas leucocerella	monophyletic		MM20604	
Cauchas rufifrontella	monophyletic		TLMF Lep 05685,MM19712,TLMF Lep 05684	
Cauchas rufimitrella	monophyletic		KLM Lep 00371,MM00047,TLMF Lep 05695,TLMF Lep 05699,TLMF Lep 05698,MM00046,TLMF Lep 05696,MM14475,MM08628,BC ZSM Lep 29149,UKLB31H02,BC ZSM Lep 24962	
Holocacista rivillei	monophyletic		AVS10	
Nematopogon adansoniella	monophyletic		TLMF Lep 03677,TLMF Lep 03676,RMNH.INS.538734,RMNH.INS.538735,RMNH.INS.538731,RMNH.INS.538732,BC ZSM Lep 64287,RMNH.INS.538733	
Nematopogon magna	monophyletic		MM08580,MM08439,MM02269,MM03156,BC ZSM Lep 29154	
Nematopogon metaxella	monophyletic		BC ZSM Lep 25608,UKLB39A09,MM03782,MM14248,UKLB30D04,MM14299,BC ZSM Lep 25117,UKLB34E10,UKLB42A07	
Nematopogon pilella	monophyletic		NHMO-08029,MM08574,BC ZSM Lep 29151,BC ZSM Lep 29155,MM03896,MM13990	
Nematopogon robertella	monophyletic		TLMF Lep 07922,MM03375,NHMO-06008,TLMF Lep 02173,TLMF Lep 02065,MM06031,MM14134,BC ZSM Lep 25111,BC ZSM Lep 37774,TLMF Lep 00554,TLMF Lep 04263,BC ZSM Lep 50812	
Nematopogon schwarziellus	monophyletic		UKLB30A06,MM14030,UKLB31H08,UKLB32C08,BC ZSM Lep 25114,TLMF Lep 07921,BC ZSM Lep 50805,MM10013,BC ZSM Lep 29150,BC ZSM Lep 25118,TLMF Lep 07479,MM10014,TLMF Lep 04262,BC ZSM Lep 29153,BC ZSM Lep 24933	
Nematopogon stenochlora	monophyletic		MM19749	
Nematopogon swammerdamella	monophyletic		UKLB39A08,BC ZSM Lep 25119,NHMO-08026,UKLB29E06,MM05293,TLMF Lep 04123,BC ZSM Lep 50867,TLMF Lep 02086,TLMF Lep 07920,TLMF Lep 02380,TLMF Lep 02378,BC ZSM Lep 29156,UKLB31G02,MM13975,BC ZSM Lep 29152,MM13371,BC ZSM Lep 25115,MM05961	
Nemophora amatella	monophyletic		MM00688,MM14482,MM15511,MM15510,MM10115	
Nemophora associatella	monophyletic		TLMF Lep 07696,BC ZSM Lep 25113,TLMF Lep 08243,BC ZSM Lep 29144,TLMF Lep 05708,TLMF Lep 05693,TLMF Lep 04482	
Nemophora bellela	monophyletic		MM18063,MM04142,MM04141	
Nemophora congruella	monophyletic		BC ZSM Lep 26940	
Nemophora cupriacella	monophyletic		BC ZSM Lep 37770,MM07039,MM19243,MM17622	
Nemophora degeerella	monophyletic		UKLB30C11,TLMF Lep 05681,BC ZSM Lep 37769,TLMF Lep 05682,BC ZSM Lep 27094,BC ZSM Lep 25763,TLMF Lep 05683,MM06587,MM09760,BC ZSM Lep 25110,BC ZSM Lep 29137,UKLB12E07,MM09554,MM15509,RMNH.INS.540936,RMNH.INS.540689,MM15508,UKLB39A10	
Nemophora dumerilella	monophyletic		BC ZSM Lep 37555	
Nemophora fasciella	monophyletic		TLMF Lep 05721,TLMF Lep 05722,TLMF Lep 05729,TLMF Lep 05730	
Nemophora metallica	monophyletic		BC ZSM Lep 37567,BC ZSM Lep 29140,MM06620,TLMF Lep 08014,TLMF Lep 05720,MM06621,MM06622,TLMF Lep 05717,BC ZSM Lep 25109,TLMF Lep 05719,TLMF Lep 05711,TLMF Lep 05712	
Nemophora minimella	monophyletic		TLMF Lep 06578,TLMF Lep 05344,TLMF Lep 05725	
Nemophora ochsenheimerella	monophyletic		BC ZSM Lep 29138,TLMF Lep 07965,BC ZSM Lep 26943,BC ZSM Lep 25108,MM19346,BC ZSM Lep 29139	
Nemophora pfeifferella	monophyletic		TLMF Lep 05724,TLMF Lep 05723	
Nemophora raddaella	monophyletic		TLMF Lep 05718	
Nemophora violellus	monophyletic		BC ZSM Lep 61478	
